SA1_7DIGITCODE_2016,cluster
1102022,Rural
1102023,Rural
1102024,Rural
1102025,Rural
1102026,Rural
1102027,Rural
1102028,Rural
1102029,Rural
1102030,Country Towns
1102031,Rural
1102032,Rural
1102101,Country Towns
1102102,Country Towns
1102104,Country Towns
1102105,Country Towns
1102106,Country Towns
1102107,Semi-Rural
1102108,Rural
1102109,Rural
1102201,Rural
1102301,Country Towns
1102302,Rural
1102303,Semi-Rural
1102304,Rural
1102305,Country Towns
1102306,Country Towns
1102307,Country Towns
1102308,Country Towns
1102309,Country Towns
1102310,Country Towns
1102401,Rural
1102402,Rural
1102403,Rural
1102404,Rural
1102405,Rural
1102406,Rural
1102407,Rural
1102408,Country Towns
1102409,Rural
1102410,Rural
1102411,Rural
1102412,Rural
1102502,Country Towns
1102503,Country Towns
1102504,Country Towns
1102505,Country Towns
1102506,Country Towns
1102507,Rural
1102508,Country Towns
1102509,Country Towns
1102510,Semi-Rural
1102511,Rural
1102512,Country Towns
1102513,Semi-Rural
1102514,Country Towns
1102516,Country Towns
1102517,Country Towns
1102518,Semi-Rural
1102519,Country Towns
1102520,Country Towns
1102521,Country Towns
1102522,Rural
1102523,Rural
1102524,Rural
1102525,Country Towns
1102526,Semi-Rural
1102527,Country Towns
1102528,Country Towns
1102529,Country Towns
1102530,Rural
1102532,Country Towns
1102601,Country Towns
1102602,Rural
1102603,Rural
1102604,Country Towns
1102605,Country Towns
1102606,Rural
1102607,Rural
1102608,Country Towns
1102609,Country Towns
1102610,Country Towns
1102611,Rural
1102612,Country Towns
1102613,Rural
1102614,Country Towns
1102615,Rural
1102616,Rural
1102617,Rural
1102618,Rural
1102619,Rural
1102620,Country Towns
1102621,Country Towns
1102622,Semi-Rural
1102623,Country Towns
1102701,Rural
1102702,Country Towns
1102703,Rural
1102704,Country Towns
1102705,Country Towns
1102706,Country Towns
1102707,Country Towns
1102708,Country Towns
1102709,Rural
1102710,Rural
1102712,Rural
1102713,Rural
1102715,Country Towns
1102717,Country Towns
1102718,Country Towns
1102719,Country Towns
1102720,Rural
1102721,Country Towns
1102722,Remote
1102723,Rural
1102724,Country Towns
1102725,Country Towns
1102726,Rural
1102727,Rural
1102728,Country Towns
1102729,Country Towns
1102802,Semi-Rural
1102803,Semi-Rural
1102804,Semi-Rural
1102805,Semi-Rural
1102806,Country Towns
1102807,Fringe-Growth
1102808,Semi-Rural
1102809,Semi-Rural
1102810,Leafy Suburbs
1102811,Semi-Rural
1102812,Semi-Rural
1102813,Leafy Suburbs
1102814,Semi-Rural
1102815,Semi-Rural
1102816,Leafy Suburbs
1102817,Semi-Rural
1102818,Semi-Rural
1102901,Semi-Rural
1102902,Semi-Rural
1102903,Semi-Rural
1102904,Semi-Rural
1102905,Semi-Rural
1102906,Leafy Suburbs
1102907,Rural
1102908,Rural
1102909,Rural
1102910,Semi-Rural
1102911,Leafy Suburbs
1102912,Leafy Suburbs
1102913,Semi-Rural
1102914,Semi-Rural
1102915,Semi-Rural
1102916,Semi-Rural
1102917,Semi-Rural
1102918,Semi-Rural
1102919,Country Towns
1102920,Country Towns
1102922,Semi-Rural
1102923,Semi-Rural
1102924,Semi-Rural
1102925,Country Towns
1102926,Semi-Rural
1102927,Semi-Rural
1102928,Country Towns
1103002,Rural
1103003,Semi-Rural
1103004,Rural
1103005,Rural
1103006,Semi-Rural
1103007,Rural
1103008,Rural
1103009,Rural
1103010,Country Towns
1103011,Country Towns
1103012,Semi-Rural
1103013,Rural
1103014,Rural
1103101,Semi-Rural
1103102,Country Towns
1103103,Country Towns
1103104,Country Towns
1103105,Semi-Rural
1103106,Country Towns
1103107,Rural
1103108,Semi-Rural
1103109,Semi-Rural
1103110,Semi-Rural
1103111,Semi-Rural
1103112,Semi-Rural
1103113,Semi-Rural
1103114,Leafy Suburbs
1103115,Semi-Rural
1103116,Semi-Rural
1103117,Semi-Rural
1103118,Semi-Rural
1103119,Semi-Rural
1103120,Semi-Rural
1103121,Semi-Rural
1103122,Semi-Rural
1103123,Country Towns
1103124,Semi-Rural
1103125,Country Towns
1103126,Country Towns
1103127,Semi-Rural
1103128,Country Towns
1103129,Semi-Rural
1103130,Leafy Suburbs
1103131,Country Towns
1103133,Semi-Rural
1103134,Semi-Rural
1103135,Semi-Rural
1103136,Semi-Rural
1103137,Remote
1103138,Country Towns
1103201,Semi-Rural
1103202,Country Towns
1103203,Semi-Rural
1103204,Inner City
1103205,Inner City
1103206,Country Towns
1103207,Inner City
1103208,Inner City
1103210,Country Towns
1103211,Semi-Rural
1103212,Semi-Rural
1103213,Semi-Rural
1103214,Semi-Rural
1103215,Inner Suburbs
1103216,Country Towns
1103217,Country Towns
1103218,Semi-Rural
1103219,Inner City
1103220,Inner City
1103221,Inner City
1103224,Inner City
1103225,Semi-Rural
1103226,Inner City
1103227,Country Towns
1103228,Country Towns
1103229,Inner Suburbs
1103230,Country Towns
1103231,Country Towns
1103232,Country Towns
1103233,Semi-Rural
1103234,Semi-Rural
1103235,Country Towns
1103236,Inner City
1103237,Inner City
1103238,Leafy Suburbs
1103239,Country Towns
1103240,Country Towns
1103241,Inner City
1103242,Inner City
1103243,Leafy Suburbs
1103244,Country Towns
1103245,Inner City
1103246,Semi-Rural
1103247,Semi-Rural
1103248,Inner City
1103301,Semi-Rural
1103302,Semi-Rural
1103303,Semi-Rural
1103304,Semi-Rural
1103305,Semi-Rural
1103306,Semi-Rural
1103307,Semi-Rural
1103308,Semi-Rural
1103309,Remote
1103310,Semi-Rural
1103311,Semi-Rural
1103312,Semi-Rural
1103313,Semi-Rural
1103314,Semi-Rural
1103315,Semi-Rural
1103317,Semi-Rural
1103318,Semi-Rural
1103319,Semi-Rural
1103320,Leafy Suburbs
1103401,Semi-Rural
1103402,Country Towns
1103403,Country Towns
1103404,Semi-Rural
1103405,Semi-Rural
1103406,Rural
1103407,Semi-Rural
1103408,Rural
1103409,Semi-Rural
1103410,Semi-Rural
1103411,Semi-Rural
1103412,Semi-Rural
1103413,Semi-Rural
1103414,Country Towns
1103415,Country Towns
1103416,Country Towns
1103417,Country Towns
1103418,Country Towns
1103419,Semi-Rural
1103501,Semi-Rural
1103502,Country Towns
1103503,Semi-Rural
1103504,Semi-Rural
1103505,Semi-Rural
1103506,Semi-Rural
1103507,Country Towns
1103508,Semi-Rural
1103509,Semi-Rural
1103510,Semi-Rural
1103511,Semi-Rural
1103512,Semi-Rural
1103513,Semi-Rural
1103514,Semi-Rural
1103515,Country Towns
1103516,Country Towns
1103517,Rural
1103601,Semi-Rural
1103602,Semi-Rural
1103603,Semi-Rural
1103604,Semi-Rural
1103605,Semi-Rural
1103606,Semi-Rural
1103607,Semi-Rural
1103608,Country Towns
1103609,Semi-Rural
1103610,Semi-Rural
1103611,Semi-Rural
1103612,Country Towns
1103613,Semi-Rural
1103614,Semi-Rural
1103615,Semi-Rural
1103616,Semi-Rural
1103617,Semi-Rural
1103618,Semi-Rural
1103619,Fringe-Growth
1103620,Inner Suburbs
1103621,Semi-Rural
1103622,Semi-Rural
1103701,Country Towns
1103702,Semi-Rural
1103703,Country Towns
1103704,Semi-Rural
1103705,Semi-Rural
1103706,Semi-Rural
1103707,Semi-Rural
1103708,Semi-Rural
1103709,Semi-Rural
1103710,Semi-Rural
1103711,Semi-Rural
1103712,Semi-Rural
1103713,Country Towns
1103714,Semi-Rural
1103801,Semi-Rural
1103802,Semi-Rural
1103803,Semi-Rural
1103804,Country Towns
1103805,Semi-Rural
1103806,Country Towns
1103807,Semi-Rural
1103808,Country Towns
1103809,Semi-Rural
1103810,Semi-Rural
1103811,Semi-Rural
1103812,Semi-Rural
1103813,Semi-Rural
1103814,Rural
1103815,Semi-Rural
1103816,Semi-Rural
1103817,Semi-Rural
1103901,Leafy Suburbs
1103902,Semi-Rural
1103903,Semi-Rural
1103904,Semi-Rural
1103905,Semi-Rural
1103906,Country Towns
1103908,Semi-Rural
1103909,Inner City
1103911,Leafy Suburbs
1103912,Country Towns
1103913,Semi-Rural
1103914,Semi-Rural
1103915,Semi-Rural
1103916,Semi-Rural
1103917,Semi-Rural
1103918,Semi-Rural
1103919,Country Towns
1103920,Inner City
1103921,Inner Suburbs
1103922,Semi-Rural
1103923,Semi-Rural
1103924,Country Towns
1103925,Leafy Suburbs
1103926,Leafy Suburbs
1103927,Semi-Rural
1103928,Inner City
1103929,Semi-Rural
1103930,Semi-Rural
1103931,Inner City
1104001,Country Towns
1104002,Country Towns
1104003,Semi-Rural
1104004,Country Towns
1104005,Rural
1104006,Country Towns
1104007,Country Towns
1104009,Country Towns
1104010,Country Towns
1104011,Country Towns
1104012,Country Towns
1104013,Country Towns
1104014,Country Towns
1104015,Country Towns
1104016,Leafy Suburbs
1104017,Country Towns
1104018,Country Towns
1104019,Country Towns
1104020,Country Towns
1104021,Country Towns
1104022,Country Towns
1104023,Country Towns
1104024,Country Towns
1104025,Country Towns
1104026,Country Towns
1104027,Country Towns
1104028,Semi-Rural
1104029,Country Towns
1104030,Country Towns
1104031,Country Towns
1104032,Country Towns
1104033,Country Towns
1104034,Country Towns
1104035,Country Towns
1104036,Rural
1104037,Country Towns
1104038,Country Towns
1104039,Country Towns
1104040,Country Towns
1104041,Country Towns
1104042,Country Towns
1104043,Country Towns
1104044,Country Towns
1104045,Country Towns
1104046,Country Towns
1104047,Country Towns
1104048,Country Towns
1104049,Country Towns
1104050,Country Towns
1104051,Rural
1104052,Semi-Rural
1104053,Country Towns
1104054,Semi-Rural
1104055,Semi-Rural
1104056,Semi-Rural
1104057,Semi-Rural
1104058,Rural
1104101,Semi-Rural
1104102,Semi-Rural
1104103,Semi-Rural
1104104,Semi-Rural
1104105,Semi-Rural
1104106,Semi-Rural
1104107,Semi-Rural
1104109,Country Towns
1104110,Semi-Rural
1104111,Semi-Rural
1104112,Semi-Rural
1104113,Semi-Rural
1104114,Semi-Rural
1104115,Semi-Rural
1104116,Semi-Rural
1104117,Semi-Rural
1104119,Semi-Rural
1104120,Semi-Rural
1104121,Country Towns
1104122,Semi-Rural
1104123,Semi-Rural
1104124,Semi-Rural
1104125,Semi-Rural
1104201,Country Towns
1104202,Country Towns
1104203,Country Towns
1104204,Country Towns
1104205,Country Towns
1104207,Semi-Rural
1104208,Country Towns
1104209,Country Towns
1104210,Semi-Rural
1104211,Semi-Rural
1104213,Country Towns
1104214,Country Towns
1104215,Country Towns
1104216,Country Towns
1104217,Country Towns
1104218,Country Towns
1104219,Country Towns
1104220,Country Towns
1104221,Country Towns
1104222,Country Towns
1104223,Country Towns
1104224,Country Towns
1104225,Country Towns
1104226,Country Towns
1104227,Country Towns
1104228,Country Towns
1104229,Inner Suburbs
1104230,Country Towns
1104231,Country Towns
1104232,Country Towns
1104233,Country Towns
1104301,Country Towns
1104302,Semi-Rural
1104303,Country Towns
1104304,Semi-Rural
1104305,Semi-Rural
1104307,Semi-Rural
1104308,Country Towns
1104309,Semi-Rural
1104310,Semi-Rural
1104311,Semi-Rural
1104312,Country Towns
1104313,Remote
1104314,Country Towns
1104315,Semi-Rural
1104316,Country Towns
1104317,Country Towns
1104318,Country Towns
1104319,Semi-Rural
1104320,Country Towns
1104321,Semi-Rural
1104322,Semi-Rural
1104323,Semi-Rural
1104324,Semi-Rural
1104325,Country Towns
1104326,Semi-Rural
