sa1_7digitcode_2016,cluster
1102619,Country Towns
1102620,1102620
1102621,Country Towns
1102622,
1102623,Country Towns
1102701,Country Towns
1102702,Country Towns
1102703,Country Towns
1102704,1102704
1102705,Country Towns
1102706,Country Towns
1102707,Country Towns
1102708,1102708
1102709,Country Towns
1102710,Country Towns
1102712,1102712
1102713,Country Towns
1102715,Country Towns
1102717,Country Towns
1102718,Country Towns
1102719,Country Towns
1102720,1102720
1102721,Country Towns
1102722,Remote
1102723,Country Towns
1102724,1102724
1102725,Country Towns
1102726,Country Towns
1102727,Country Towns
1102728,1102728
1102729,Country Towns
1102802,
1102803,
1102804,1102804
1102805,
1102806,Country Towns
1102807,Fringe-Growth
1102808,1102808
1102809,
1102810,
1102811,
1102812,1102812
1102813,
1102814,
1102815,
1102816,1102816
1102817,
1102818,
1102901,
1102902,
1102903,
1102904,1102904
1102905,
1102906,
1102907,Country Towns
1102908,1102908
1102909,Country Towns
1102910,
1102911,
1102912,1102912
1102913,
1102914,
1102915,
1102916,1102916
1102917,
1102918,
1102919,Country Towns
1102920,1102920
1102922,
1102923,
1102924,1102924
1102925,Country Towns
1102926,
1102927,
1102928,1102928
1103002,
1103003,
1103004,1103004
1103005,
1103006,
1103007,
1103008,1103008
1103009,
1103010,Country Towns
1103011,Country Towns
1103012,1103012
1103013,Country Towns
1103014,
1103101,
1103102,Country Towns
1103103,Country Towns
1103104,1103104
1103105,
1103106,Country Towns
1103107,
1103108,1103108
1103109,
1103110,
1103111,
1103112,1103112
1103113,
1103114,
1103115,
1103116,1103116
1103117,Country Towns
1103118,
1103119,
1103120,1103120
1103121,
1103122,Country Towns
1103123,Country Towns
1103124,1103124
1103125,Country Towns
1103126,Country Towns
1103127,
1103128,1103128
1103129,
1103130,
1103131,Country Towns
1103133,
1103134,
1103135,
1103136,1103136
1103137,Remote
1103138,Country Towns
1103201,
1103202,Country Towns
1103203,
1103204,1103204
1103205,
1103206,Country Towns
1103207,
1103208,1103208
1103210,Country Towns
1103211,
1103212,1103212
1103213,
1103214,
1103215,Inner Suburbs
1103216,1103216
1103217,
1103218,
1103219,
1103220,1103220
1103221,
1103224,1103224
1103225,
1103226,
1103227,Country Towns
1103228,1103228
1103229,Inner Suburbs
1103230,Country Towns
1103231,Country Towns
1103232,1103232
1103233,
1103234,
1103235,Country Towns
1103236,1103236
1103237,
1103238,
1103239,Country Towns
1103240,1103240
1103241,
1103242,
1103243,
1103244,1103244
1103245,
1103246,
1103247,
1103248,1103248
1103301,
1103302,
1103303,
1103304,1103304
1103305,
1103306,
1103307,
1103308,1103308
1103309,Remote
1103310,
1103311,
1103312,1103312
1103313,
1103314,
1103315,
1103317,
1103318,
1103319,
1103320,1103320
1103401,
1103402,Country Towns
1103403,Country Towns
1103404,1103404
1103405,
1103406,Country Towns
1103407,
1103408,1103408
1103409,
1103410,
1103411,
1103412,1103412
1103413,
1103414,Country Towns
1103415,Country Towns
1103416,1103416
1103417,Country Towns
1103418,Country Towns
1103419,
1103501,
1103502,Country Towns
1103503,
1103504,1103504
1103505,
1103506,
1103507,Country Towns
1103508,1103508
1103509,
1103510,
1103511,
1103512,1103512
1103513,
1103514,
1103515,Country Towns
1103516,1103516
1103517,
1103601,
1103602,
1103603,
1103604,1103604
1103605,
1103606,
1103607,
1103608,1103608
1103609,
1103610,
1103611,
1103612,1103612
1103613,
1103614,
1103615,
1103616,1103616
1103617,
1103618,
1103619,Fringe-Growth
1103620,1103620
1103621,
1103622,
1103701,Country Towns
1103702,
1103703,Country Towns
1103704,1103704
1103705,
1103706,Country Towns
1103707,
1103708,1103708
1103709,
1103710,
1103711,
1103712,1103712
1103713,Country Towns
1103714,
1103801,
1103802,
1103803,Country Towns
1103804,1103804
1103805,
1103806,Country Towns
1103807,
1103808,1103808
1103809,
1103810,
1103811,
1103812,1103812
1103813,
1103814,Country Towns
1103815,
1103816,1103816
1103817,
1103901,
1103902,
1103903,
1103904,1103904
1103905,
1103906,
1103908,1103908
1103909,
1103911,
1103912,1103912
1103913,
1103914,
1103915,Fringe-Growth
1103916,1103916
1103917,
1103918,
1103919,Country Towns
1103920,1103920
1103921,
1103922,
1103923,
1103924,1103924
1103925,
1103926,
1103927,
1103928,1103928
1103929,
1103930,
1103931,
1104001,Country Towns
1104002,Country Towns
1104003,
1104004,1104004
1104005,
1104006,Country Towns
1104007,Country Towns
1104009,Country Towns
1104010,Country Towns
1104011,Country Towns
1104012,1104012
1104013,Country Towns
1104014,Country Towns
1104015,Country Towns
1104016,1104016
1104017,Country Towns
1104018,Country Towns
1104019,Country Towns
1104020,1104020
1104021,Country Towns
1104022,Country Towns
1104023,Country Towns
1104024,1104024
1104025,Country Towns
1104026,Country Towns
1104027,Country Towns
1104028,1104028
1104029,Country Towns
1104030,Country Towns
1104031,Country Towns
1104032,1104032
1104033,Country Towns
1104034,Country Towns
1104035,Country Towns
1104036,1104036
1104037,Country Towns
1104038,Country Towns
1104039,Country Towns
1104040,1104040
1104041,Country Towns
1104042,Country Towns
1104043,Country Towns
1104044,1104044
1104045,Country Towns
1104046,Country Towns
1104047,Country Towns
1104048,1104048
1104049,Country Towns
1104050,Country Towns
1104051,Country Towns
1104052,1104052
1104053,Country Towns
1104054,
1104055,
1104056,1104056
1104057,
1104058,Country Towns
1104101,
1104102,
1104103,Fringe-Growth
1104104,1104104
1104105,
1104106,
1104107,
1104109,
1104110,
1104111,
1104112,1104112
1104113,
1104114,
1104115,
1104116,1104116
1104117,
1104119,
1104120,1104120
1104121,Country Towns
1104122,
1104123,
1104124,1104124
1104125,
1104201,Country Towns
1104202,Country Towns
1104203,Country Towns
1104204,1104204
1104205,Country Towns
1104207,
1104208,1104208
1104209,Country Towns
1104210,
1104211,
1104213,Country Towns
1104214,Country Towns
1104215,Country Towns
1104216,1104216
1104217,Country Towns
1104218,Country Towns
1104219,Country Towns
1104220,1104220
1104221,Country Towns
1104222,Country Towns
1104223,Country Towns
1104224,1104224
1104225,Country Towns
1104226,Country Towns
1104227,Country Towns
1104228,1104228
1104229,Inner Suburbs
1104230,Country Towns
1104231,Country Towns
1104232,1104232
1104233,Country Towns
1104301,Country Towns
1104302,
1104303,Country Towns
1104304,1104304
1104305,
1104307,
1104308,1104308
1104309,
1104310,
1104311,
1104312,1104312
1104313,Remote
1104314,Country Towns
1104315,
1104316,1104316
1104317,Country Towns
1104318,Country Towns
1104319,
1104320,1104320
1104321,
1104322,
1104323,
1104324,1104324
1104325,Country Towns
1104326,
1104327,
1104328,1104328
1104329,
1104330,
1104401,Country Towns
1104402,
1104403,Country Towns
1104404,1104404
1104405,
1104406,Country Towns
1104407,Country Towns
1104408,1104408
1104409,Country Towns
1104410,Country Towns
1104411,Country Towns
1104412,1104412
1104414,Country Towns
1104415,
1104416,1104416
1104417,Country Towns
1104418,Country Towns
1104419,
1104420,1104420
1104421,Country Towns
1104422,
1104423,
1104424,1104424
1104425,Country Towns
1104426,
1104427,Country Towns
1104428,1104428
1104429,Country Towns
1104430,Country Towns
1104431,Country Towns
1104432,1104432
1104433,
1104434,Country Towns
1104435,
1104436,1104436
1104437,Country Towns
1104438,
1104439,Country Towns
1104440,1104440
1104441,Country Towns
1104442,Country Towns
1104443,Country Towns
1104444,1104444
1104445,Country Towns
1104446,Country Towns
1104447,Country Towns
1104448,1104448
1104449,Country Towns
1104450,
1104451,
1104452,1104452
1104453,Country Towns
1104454,
1104455,Country Towns
1104456,1104456
1104457,
1104458,
1104459,
1104501,Country Towns
1104502,Country Towns
1104503,Country Towns
1104504,1104504
1104505,Country Towns
1104506,Country Towns
1104507,Country Towns
1104508,1104508
1104509,Country Towns
1104510,Country Towns
1104511,Country Towns
1104512,1104512
1104513,Country Towns
1104514,
1104515,Country Towns
1104516,1104516
1104517,Country Towns
1104518,
1104519,
1104521,Country Towns
1104522,
1104523,
1104524,1104524
1104601,Country Towns
1104602,Country Towns
1104603,Country Towns
1104604,1104604
1104605,Country Towns
1104606,Country Towns
1104607,Country Towns
1104608,1104608
1104609,Country Towns
1104610,Country Towns
1104611,Country Towns
1104612,1104612
1104614,Country Towns
1104615,Country Towns
1104616,1104616
1104617,Country Towns
1104618,Country Towns
1104619,Country Towns
1104620,1104620
1104621,Country Towns
1104622,Country Towns
1104623,Country Towns
1104624,1104624
1104625,Country Towns
1104701,
1104702,
1104703,
1104704,1104704
1104705,
1104706,
1104707,
1104708,1104708
1104709,
1104710,Country Towns
1104711,Country Towns
1104712,1104712
1104713,Country Towns
1104714,
1104715,
1104716,1104716
1104717,
1104718,
1104719,
1104720,1104720
1104721,
1104722,
1104723,
1104724,1104724
1104725,
1104726,
1104727,
1104728,1104728
1104729,
1104730,
1104731,
1104732,1104732
1104733,Country Towns
1104734,Country Towns
1104735,
1104736,1104736
1104737,Country Towns
1104801,Country Towns
1104802,
1104803,
1104804,1104804
1104805,Country Towns
1104806,
1104807,Country Towns
1104808,1104808
1104809,Country Towns
1104810,Country Towns
1104811,Country Towns
1104812,1104812
1104813,Country Towns
1104814,Country Towns
1104815,Country Towns
1104816,1104816
1104817,Country Towns
1104818,Country Towns
1104819,Country Towns
1104820,1104820
1104821,Country Towns
1104822,Country Towns
1104823,Country Towns
1104824,1104824
1104825,Country Towns
1104826,Country Towns
1104827,Country Towns
1104828,1104828
1104829,Country Towns
1104830,Country Towns
1104831,
1104832,1104832
1104833,Country Towns
1104834,Country Towns
1104835,Country Towns
1104836,1104836
1104837,Country Towns
1104838,
1104840,1104840
1104841,Country Towns
1104842,Country Towns
1104843,Country Towns
1104844,1104844
1104845,Country Towns
1104846,Country Towns
1104847,Country Towns
1104848,1104848
1104849,Country Towns
1104901,
1104902,
1104903,
1104904,1104904
1104905,
1104906,
1104907,
1104908,1104908
1104910,
1105001,Country Towns
1105002,Country Towns
1105003,
1105004,1105004
1105005,Country Towns
1105006,Country Towns
1105007,Country Towns
1105008,1105008
1105009,Country Towns
1105010,Country Towns
1105011,Country Towns
1105012,1105012
1105013,Country Towns
1105015,Country Towns
1105016,1105016
1105017,Country Towns
1105018,
1105019,
1105020,1105020
1105021,Country Towns
