state,country,geonameid
South Australia,Australia,2078025
Western Australia,Australia,2058645
Queensland,Australia,2152274
Northern Territory,Australia,2073124
Victoria,Australia,2145234
New South Wales,Australia,2155400
Tasmania,Australia,2147291
Australian Capital Territory,Australia,2172517
