city,state,country,geonameid
Randwick,New South Wales,Australia,2208285
Dee Why,New South Wales,Australia,2208305
Umina,New South Wales,Australia,2208313
Palmerston,Northern Territory,Australia,6301965
Bracken Ridge,Queensland,Australia,6943558
North Ryde,New South Wales,Australia,7281782
Hoppers Crossing,Victoria,Australia,7281807
Logan City,Queensland,Australia,7281838
Carindale,Queensland,Australia,7281839
Paramatta,New South Wales,Australia,7281840
Ferntree Gully,Victoria,Australia,7281850
City of Parramatta,New South Wales,Australia,7302259
Adelaide Hills,South Australia,Australia,7302628
Canning Vale,Western Australia,Australia,7302631
Glenmore Park,New South Wales,Australia,7302642
Glen Iris,Victoria,Australia,7932612
Balwyn North,Victoria,Australia,7932629
Carnegie,Victoria,Australia,7932636
Malvern East,Victoria,Australia,7932638
Brighton East,Victoria,Australia,7932646
Booval,Queensland,Australia,7932654
St Albans,Victoria,Australia,8015209
Endeavour Hills,Victoria,Australia,8347325
Clayton,Victoria,Australia,8347717
Taylors Lakes,Victoria,Australia,8347847
Roxburgh Park,Victoria,Australia,8347896
Wyndham Vale,Victoria,Australia,8348078
Willetton,Western Australia,Australia,8348101
Thornbury,Victoria,Australia,8348734
Thornlie,Western Australia,Australia,8349108
Hillside,Victoria,Australia,8349243
Bundoora,Victoria,Australia,8349381
Forest Lake,Queensland,Australia,9957340
Sunnybank Hills,Queensland,Australia,9957350
Narre Warren South,Victoria,Australia,9972518
Dandenong North,Victoria,Australia,9972522
Frankston South,Victoria,Australia,9972527
Sunshine West,Victoria,Australia,9972578
Altona Meadows,Victoria,Australia,9972579
West Pennant,New South Wales,Australia,9972964
